no,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
42,Adelie,Dream,36,18.5,186,3100,Female
43,Adelie,Dream,44.1,19.7,196,4400,Male
44,Adelie,Dream,37,16.9,185,3000,Female
45,Adelie,Dream,39.6,18.8,190,4600,Male
46,Adelie,Dream,41.1,19,182,3425,Male
47,Adelie,Dream,37.5,18.9,179,2975,
48,Adelie,Dream,36,17.9,190,3450,Female
49,Adelie,Dream,42.3,21.2,191,4150,Male
50,Adelie,Biscoe,39.6,17.7,186,3500,Female
51,Adelie,Biscoe,40.1,18.9,188,4300,Male
52,Adelie,Biscoe,35,17.9,190,3450,Female
53,Adelie,Biscoe,42,19.5,200,4050,Male
54,Adelie,Biscoe,34.5,18.1,187,2900,Female
55,Adelie,Biscoe,41.4,18.6,191,3700,Male
56,Adelie,Biscoe,39,17.5,186,3550,Female
57,Adelie,Biscoe,40.6,18.8,193,3800,Male
58,Adelie,Biscoe,36.5,16.6,181,2850,Female
59,Adelie,Biscoe,37.6,19.1,194,3750,Male
60,Adelie,Biscoe,35.7,16.9,185,3150,Female
61,Adelie,Biscoe,41.3,21.1,195,4400,Male
62,Adelie,Biscoe,37.6,17,185,3600,Female
63,Adelie,Biscoe,41.1,18.2,192,4050,Male
64,Adelie,Biscoe,36.4,17.1,184,2850,Female
65,Adelie,Biscoe,41.6,18,192,3950,Male
66,Adelie,Biscoe,35.5,16.2,195,3350,Female
67,Adelie,Biscoe,41.1,19.1,188,4100,Male
68,Adelie,Torgersen,35.9,16.6,190,3050,Female
69,Adelie,Torgersen,41.8,19.4,198,4450,Male
70,Adelie,Torgersen,33.5,19,190,3600,Female
71,Adelie,Torgersen,39.7,18.4,190,3900,Male
72,Adelie,Torgersen,39.6,17.2,196,3550,Female
73,Adelie,Torgersen,45.8,18.9,197,4150,Male
74,Adelie,Torgersen,35.5,17.5,190,3700,Female
75,Adelie,Torgersen,42.8,18.5,195,4250,Male
76,Adelie,Torgersen,40.9,16.8,191,3700,Female
77,Adelie,Torgersen,37.2,19.4,184,3900,Male
78,Adelie,Torgersen,36.2,16.1,187,3550,Female
79,Adelie,Torgersen,42.1,19.1,195,4000,Male
80,Adelie,Torgersen,34.6,17.2,189,3200,Female
81,Adelie,Torgersen,42.9,17.6,196,4700,Male
82,Adelie,Torgersen,36.7,18.8,187,3800,Female
83,Adelie,Torgersen,35.1,19.4,193,4200,Male
84,Adelie,Dream,37.3,17.8,191,3350,Female
85,Adelie,Dream,41.3,20.3,194,3550,Male
86,Adelie,Dream,36.3,19.5,190,3800,Male
87,Adelie,Dream,36.9,18.6,189,3500,Female
88,Adelie,Dream,38.3,19.2,189,3950,Male
89,Adelie,Dream,38.9,18.8,190,3600,Female
90,Adelie,Dream,35.7,18,202,3550,Female
91,Adelie,Dream,41.1,18.1,205,4300,Male
92,Adelie,Dream,34,17.1,185,3400,Female
93,Adelie,Dream,39.6,18.1,186,4450,Male
94,Adelie,Dream,36.2,17.3,187,3300,Female
95,Adelie,Dream,40.8,18.9,208,4300,Male
96,Adelie,Dream,38.1,18.6,190,3700,Female
97,Adelie,Dream,40.3,18.5,196,4350,Male
98,Adelie,Dream,33.1,16.1,178,2900,Female
99,Adelie,Dream,43.2,18.5,192,4100,Male
100,Adelie,Biscoe,35,17.9,192,3725,Female
101,Adelie,Biscoe,41,20,203,4725,Male
102,Adelie,Biscoe,37.7,16,183,3075,Female
103,Adelie,Biscoe,37.8,20,190,4250,Male
104,Adelie,Biscoe,37.9,18.6,193,2925,Female
105,Adelie,Biscoe,39.7,18.9,184,3550,Male
106,Adelie,Biscoe,38.6,17.2,199,3750,Female
107,Adelie,Biscoe,38.2,20,190,3900,Male
108,Adelie,Biscoe,38.1,17,181,3175,Female
109,Adelie,Biscoe,43.2,19,197,4775,Male
110,Adelie,Biscoe,38.1,16.5,198,3825,Female
111,Adelie,Biscoe,45.6,20.3,191,4600,Male
112,Adelie,Biscoe,39.7,17.7,193,3200,Female
113,Adelie,Biscoe,42.2,19.5,197,4275,Male
114,Adelie,Biscoe,39.6,20.7,191,3900,Female
115,Adelie,Biscoe,42.7,18.3,196,4075,Male
116,Adelie,Torgersen,38.6,17,188,2900,Female
117,Adelie,Torgersen,37.3,20.5,199,3775,Male
118,Adelie,Torgersen,35.7,17,189,3350,Female
119,Adelie,Torgersen,41.1,18.6,189,3325,Male
120,Adelie,Torgersen,36.2,17.2,187,3150,Female
121,Adelie,Torgersen,37.7,19.8,198,3500,Male
122,Adelie,Torgersen,40.2,17,176,3450,Female
123,Adelie,Torgersen,41.4,18.5,202,3875,Male
124,Adelie,Torgersen,35.2,15.9,186,3050,Female
125,Adelie,Torgersen,40.6,19,199,4000,Male
126,Adelie,Torgersen,38.8,17.6,191,3275,Female
127,Adelie,Torgersen,41.5,18.3,195,4300,Male
128,Adelie,Torgersen,39,17.1,191,3050,Female
129,Adelie,Torgersen,44.1,18,210,4000,Male
130,Adelie,Torgersen,38.5,17.9,190,3325,Female
131,Adelie,Torgersen,43.1,19.2,197,3500,Male
132,Adelie,Dream,36.8,18.5,193,3500,Female
133,Adelie,Dream,37.5,18.5,199,4475,Male
134,Adelie,Dream,38.1,17.6,187,3425,Female
135,Adelie,Dream,41.1,17.5,190,3900,Male
136,Adelie,Dream,35.6,17.5,191,3175,Female
137,Adelie,Dream,40.2,20.1,200,3975,Male
138,Adelie,Dream,37,16.5,185,3400,Female
139,Adelie,Dream,39.7,17.9,193,4250,Male
140,Adelie,Dream,40.2,17.1,193,3400,Female
141,Adelie,Dream,40.6,17.2,187,3475,Male
142,Adelie,Dream,32.1,15.5,188,3050,Female
143,Adelie,Dream,40.7,17,190,3725,Male
144,Adelie,Dream,37.3,16.8,192,3000,Female
145,Adelie,Dream,39,18.7,185,3650,Male
146,Adelie,Dream,39.2,18.6,190,4250,Male
147,Adelie,Dream,36.6,18.4,184,3475,Female
148,Adelie,Dream,36,17.8,195,3450,Female
149,Adelie,Dream,37.8,18.1,193,3750,Male
150,Adelie,Dream,36,17.1,187,3700,Female
151,Adelie,Dream,41.5,18.5,201,4000,Male
152,Chinstrap,Dream,46.5,17.9,192,3500,Female
153,Chinstrap,Dream,50,19.5,196,3900,Male
154,Chinstrap,Dream,51.3,19.2,193,3650,Male
155,Chinstrap,Dream,45.4,18.7,188,3525,Female
156,Chinstrap,Dream,52.7,19.8,197,3725,Male
157,Chinstrap,Dream,45.2,17.8,198,3950,Female
158,Chinstrap,Dream,46.1,18.2,178,3250,Female
159,Chinstrap,Dream,51.3,18.2,197,3750,Male
160,Chinstrap,Dream,46,18.9,195,4150,Female
161,Chinstrap,Dream,51.3,19.9,198,3700,Male
162,Chinstrap,Dream,46.6,17.8,193,3800,Female
163,Chinstrap,Dream,51.7,20.3,194,3775,Male
164,Chinstrap,Dream,47,17.3,185,3700,Female
165,Chinstrap,Dream,52,18.1,201,4050,Male
166,Chinstrap,Dream,45.9,17.1,190,3575,Female
167,Chinstrap,Dream,50.5,19.6,201,4050,Male
168,Chinstrap,Dream,50.3,20,197,3300,Male
169,Chinstrap,Dream,58,17.8,181,3700,Female
170,Chinstrap,Dream,46.4,18.6,190,3450,Female
171,Chinstrap,Dream,49.2,18.2,195,4400,Male
172,Chinstrap,Dream,42.4,17.3,181,3600,Female
173,Chinstrap,Dream,48.5,17.5,191,3400,Male
174,Chinstrap,Dream,43.2,16.6,187,2900,Female
175,Chinstrap,Dream,50.6,19.4,193,3800,Male
176,Chinstrap,Dream,46.7,17.9,195,3300,Female
177,Chinstrap,Dream,52,19,197,4150,Male
178,Chinstrap,Dream,50.5,18.4,200,3400,Female
179,Chinstrap,Dream,49.5,19,200,3800,Male
180,Chinstrap,Dream,46.4,17.8,191,3700,Female
181,Chinstrap,Dream,52.8,20,205,4550,Male
182,Chinstrap,Dream,40.9,16.6,187,3200,Female
183,Chinstrap,Dream,54.2,20.8,201,4300,Male
184,Chinstrap,Dream,42.5,16.7,187,3350,Female
185,Chinstrap,Dream,51,18.8,203,4100,Male
186,Chinstrap,Dream,49.7,18.6,195,3600,Male
187,Chinstrap,Dream,47.5,16.8,199,3900,Female
188,Chinstrap,Dream,47.6,18.3,195,3850,Female
189,Chinstrap,Dream,52,20.7,210,4800,Male
190,Chinstrap,Dream,46.9,16.6,192,2700,Female
191,Chinstrap,Dream,53.5,19.9,205,4500,Male
192,Chinstrap,Dream,49,19.5,210,3950,Male
193,Chinstrap,Dream,46.2,17.5,187,3650,Female
194,Chinstrap,Dream,50.9,19.1,196,3550,Male
195,Chinstrap,Dream,45.5,17,196,3500,Female
196,Chinstrap,Dream,50.9,17.9,196,3675,Female
197,Chinstrap,Dream,50.8,18.5,201,4450,Male
198,Chinstrap,Dream,50.1,17.9,190,3400,Female
199,Chinstrap,Dream,49,19.6,212,4300,Male
200,Chinstrap,Dream,51.5,18.7,187,3250,Male
201,Chinstrap,Dream,49.8,17.3,198,3675,Female
202,Chinstrap,Dream,48.1,16.4,199,3325,Female
203,Chinstrap,Dream,51.4,19,201,3950,Male
204,Chinstrap,Dream,45.7,17.3,193,3600,Female
205,Chinstrap,Dream,50.7,19.7,203,4050,Male
206,Chinstrap,Dream,42.5,17.3,187,3350,Female
207,Chinstrap,Dream,52.2,18.8,197,3450,Male
208,Chinstrap,Dream,45.2,16.6,191,3250,Female
209,Chinstrap,Dream,49.3,19.9,203,4050,Male
210,Chinstrap,Dream,50.2,18.8,202,3800,Male
211,Chinstrap,Dream,45.6,19.4,194,3525,Female
212,Chinstrap,Dream,51.9,19.5,206,3950,Male
213,Chinstrap,Dream,46.8,16.5,189,3650,Female
214,Chinstrap,Dream,45.7,17,195,3650,Female
215,Chinstrap,Dream,55.8,19.8,207,4000,Male
216,Chinstrap,Dream,43.5,18.1,202,3400,Female
217,Chinstrap,Dream,49.6,18.2,193,3775,Male
218,Chinstrap,Dream,50.8,19,210,4100,Male
219,Chinstrap,Dream,50.2,18.7,198,3775,Female
220,Gentoo,Biscoe,46.1,13.2,211,4500,Female
221,Gentoo,Biscoe,50,16.3,230,5700,Male
222,Gentoo,Biscoe,48.7,14.1,210,4450,Female
223,Gentoo,Biscoe,50,15.2,218,5700,Male
224,Gentoo,Biscoe,47.6,14.5,215,5400,Male
225,Gentoo,Biscoe,46.5,13.5,210,4550,Female
226,Gentoo,Biscoe,45.4,14.6,211,4800,Female
227,Gentoo,Biscoe,46.7,15.3,219,5200,Male
228,Gentoo,Biscoe,43.3,13.4,209,4400,Female
229,Gentoo,Biscoe,46.8,15.4,215,5150,Male
230,Gentoo,Biscoe,40.9,13.7,214,4650,Female
231,Gentoo,Biscoe,49,16.1,216,5550,Male
232,Gentoo,Biscoe,45.5,13.7,214,4650,Female
233,Gentoo,Biscoe,48.4,14.6,213,5850,Male
234,Gentoo,Biscoe,45.8,14.6,210,4200,Female
235,Gentoo,Biscoe,49.3,15.7,217,5850,Male
236,Gentoo,Biscoe,42,13.5,210,4150,Female
237,Gentoo,Biscoe,49.2,15.2,221,6300,Male
238,Gentoo,Biscoe,46.2,14.5,209,4800,Female
239,Gentoo,Biscoe,48.7,15.1,222,5350,Male
240,Gentoo,Biscoe,50.2,14.3,218,5700,Male
241,Gentoo,Biscoe,45.1,14.5,215,5000,Female
242,Gentoo,Biscoe,46.5,14.5,213,4400,Female
243,Gentoo,Biscoe,46.3,15.8,215,5050,Male
244,Gentoo,Biscoe,42.9,13.1,215,5000,Female
245,Gentoo,Biscoe,46.1,15.1,215,5100,Male
246,Gentoo,Biscoe,44.5,14.3,216,4100,
247,Gentoo,Biscoe,47.8,15,215,5650,Male
248,Gentoo,Biscoe,48.2,14.3,210,4600,Female
249,Gentoo,Biscoe,50,15.3,220,5550,Male
250,Gentoo,Biscoe,47.3,15.3,222,5250,Male
251,Gentoo,Biscoe,42.8,14.2,209,4700,Female
252,Gentoo,Biscoe,45.1,14.5,207,5050,Female
253,Gentoo,Biscoe,59.6,17,230,6050,Male
254,Gentoo,Biscoe,49.1,14.8,220,5150,Female
255,Gentoo,Biscoe,48.4,16.3,220,5400,Male
256,Gentoo,Biscoe,42.6,13.7,213,4950,Female
257,Gentoo,Biscoe,44.4,17.3,219,5250,Male
258,Gentoo,Biscoe,44,13.6,208,4350,Female
259,Gentoo,Biscoe,48.7,15.7,208,5350,Male
260,Gentoo,Biscoe,42.7,13.7,208,3950,Female
261,Gentoo,Biscoe,49.6,16,225,5700,Male
262,Gentoo,Biscoe,45.3,13.7,210,4300,Female
263,Gentoo,Biscoe,49.6,15,216,4750,Male
264,Gentoo,Biscoe,50.5,15.9,222,5550,Male
265,Gentoo,Biscoe,43.6,13.9,217,4900,Female
266,Gentoo,Biscoe,45.5,13.9,210,4200,Female
267,Gentoo,Biscoe,50.5,15.9,225,5400,Male
268,Gentoo,Biscoe,44.9,13.3,213,5100,Female
269,Gentoo,Biscoe,45.2,15.8,215,5300,Male
270,Gentoo,Biscoe,46.6,14.2,210,4850,Female
271,Gentoo,Biscoe,48.5,14.1,220,5300,Male
272,Gentoo,Biscoe,45.1,14.4,210,4400,Female
273,Gentoo,Biscoe,50.1,15,225,5000,Male
274,Gentoo,Biscoe,46.5,14.4,217,4900,Female
275,Gentoo,Biscoe,45,15.4,220,5050,Male
276,Gentoo,Biscoe,43.8,13.9,208,4300,Female
277,Gentoo,Biscoe,45.5,15,220,5000,Male
278,Gentoo,Biscoe,43.2,14.5,208,4450,Female
279,Gentoo,Biscoe,50.4,15.3,224,5550,Male
280,Gentoo,Biscoe,45.3,13.8,208,4200,Female
281,Gentoo,Biscoe,46.2,14.9,221,5300,Male
282,Gentoo,Biscoe,45.7,13.9,214,4400,Female
283,Gentoo,Biscoe,54.3,15.7,231,5650,Male
284,Gentoo,Biscoe,45.8,14.2,219,4700,Female
285,Gentoo,Biscoe,49.8,16.8,230,5700,Male
286,Gentoo,Biscoe,46.2,14.4,214,4650,
287,Gentoo,Biscoe,49.5,16.2,229,5800,Male
288,Gentoo,Biscoe,43.5,14.2,220,4700,Female
289,Gentoo,Biscoe,50.7,15,223,5550,Male
290,Gentoo,Biscoe,47.7,15,216,4750,Female
291,Gentoo,Biscoe,46.4,15.6,221,5000,Male
292,Gentoo,Biscoe,48.2,15.6,221,5100,Male
293,Gentoo,Biscoe,46.5,14.8,217,5200,Female
294,Gentoo,Biscoe,46.4,15,216,4700,Female
295,Gentoo,Biscoe,48.6,16,230,5800,Male
296,Gentoo,Biscoe,47.5,14.2,209,4600,Female
297,Gentoo,Biscoe,51.1,16.3,220,6000,Male
298,Gentoo,Biscoe,45.2,13.8,215,4750,Female
299,Gentoo,Biscoe,45.2,16.4,223,5950,Male
300,Gentoo,Biscoe,49.1,14.5,212,4625,Female
301,Gentoo,Biscoe,52.5,15.6,221,5450,Male
302,Gentoo,Biscoe,47.4,14.6,212,4725,Female
303,Gentoo,Biscoe,50,15.9,224,5350,Male
304,Gentoo,Biscoe,44.9,13.8,212,4750,Female
305,Gentoo,Biscoe,50.8,17.3,228,5600,Male
306,Gentoo,Biscoe,43.4,14.4,218,4600,Female
307,Gentoo,Biscoe,51.3,14.2,218,5300,Male
308,Gentoo,Biscoe,47.5,14,212,4875,Female
309,Gentoo,Biscoe,52.1,17,230,5550,Male
310,Gentoo,Biscoe,47.5,15,218,4950,Female
311,Gentoo,Biscoe,52.2,17.1,228,5400,Male
312,Gentoo,Biscoe,45.5,14.5,212,4750,Female
313,Gentoo,Biscoe,49.5,16.1,224,5650,Male
314,Gentoo,Biscoe,44.5,14.7,214,4850,Female
315,Gentoo,Biscoe,50.8,15.7,226,5200,Male
316,Gentoo,Biscoe,49.4,15.8,216,4925,Male
317,Gentoo,Biscoe,46.9,14.6,222,4875,Female
318,Gentoo,Biscoe,48.4,14.4,203,4625,Female
319,Gentoo,Biscoe,51.1,16.5,225,5250,Male
320,Gentoo,Biscoe,48.5,15,219,4850,Female
321,Gentoo,Biscoe,55.9,17,228,5600,Male
322,Gentoo,Biscoe,47.2,15.5,215,4975,Female
323,Gentoo,Biscoe,49.1,15,228,5500,Male
324,Gentoo,Biscoe,47.3,13.8,216,4725,
325,Gentoo,Biscoe,46.8,16.1,215,5500,Male
326,Gentoo,Biscoe,41.7,14.7,210,4700,Female
327,Gentoo,Biscoe,53.4,15.8,219,5500,Male
328,Gentoo,Biscoe,43.3,14,208,4575,Female
329,Gentoo,Biscoe,48.1,15.1,209,5500,Male
330,Gentoo,Biscoe,50.5,15.2,216,5000,Female
331,Gentoo,Biscoe,49.8,15.9,229,5950,Male
332,Gentoo,Biscoe,43.5,15.2,213,4650,Female
333,Gentoo,Biscoe,51.5,16.3,230,5500,Male
334,Gentoo,Biscoe,46.2,14.1,217,4375,Female
335,Gentoo,Biscoe,55.1,16,230,5850,Male
336,Gentoo,Biscoe,44.5,15.7,217,4875,
337,Gentoo,Biscoe,48.8,16.2,222,6000,Male
338,Gentoo,Biscoe,47.2,13.7,214,4925,Female
339,Gentoo,Biscoe,,,,,
340,Gentoo,Biscoe,46.8,14.3,215,4850,Female
341,Gentoo,Biscoe,50.4,15.7,222,5750,Male
342,Gentoo,Biscoe,45.2,14.8,212,5200,Female
343,Gentoo,Biscoe,49.9,16.1,213,5400,Male
